year,month,snowfall_avg
2012,1,0.13122242459884056
2012,2,0.0939320964882007
2012,3,0.04264146963564249
2012,4,0.0020167948787275236
2012,5,0.00016324441709842248
2012,6,0.0
2012,7,0.0
2012,8,9.305210824095411e-08
2012,9,8.333333356019396e-07
2012,10,0.00022748138819504395
2012,11,0.007451121753547341
2012,12,0.11888508126139641
2013,1,0.3164578527212143
2013,2,0.2539749644123591
2013,3,0.0877040013527641
2013,4,0.00589121794865395
2013,5,0.00013954714803241167
2013,6,1.2820512788144137e-07
2013,7,0.0
2013,8,0.0
2013,9,2.8814101352299287e-05
2013,10,0.0012304900561468037
2013,11,0.02218410265273773
2013,12,0.1298233256317102
2014,1,0.16290297774741283
2014,2,0.411188563475242
2014,3,0.2669278231377785
2014,4,0.027257596572431233
2014,5,8.12655094670425e-06
2014,6,9.615384591108103e-08
2014,7,0.0
2014,8,0.0
2014,9,3.942307710776032e-06
2014,10,0.0003794354901261753
2014,11,0.015731634554238275
2014,12,0.09788523772015022
2015,1,0.22769788939219254
2015,2,0.5689153487865741
2015,3,0.32171749954040235
2015,4,0.01270016015937122
2015,5,4.9007444650109955e-06
2015,6,1.314102554225918e-06
2015,7,0.0
2015,8,0.0
2015,9,3.205128197036034e-08
2015,10,0.0008532878399329582
2015,11,0.0018615063891047612
2015,12,0.01648756195432865
2016,1,0.10726541825211965
2016,2,0.13268239309008306
2016,3,0.03454913116561679
2016,4,0.008378942389614306
2016,5,1.6935483673618226e-05
2016,6,2.8846153554695775e-07
2016,7,0.0
2016,8,0.0
2016,9,2.445512900696765e-05
2016,10,0.003338647603343886
2016,11,0.016730737388850406
2016,12,0.11151054558845666
2017,1,0.13414339234049505
2017,2,0.20596940270983255
2017,3,0.0947825673681039
2017,4,0.004075576931847116
2017,5,0.00039364144280485704
2017,6,9.93589730149744e-07
2017,7,0.0
2017,8,0.0
2017,9,9.294871465324552e-07
2017,10,1.085607933121607e-06
2017,11,0.009822532122668166
2017,12,0.0842464637870972
2018,1,0.1778649501502514
2018,2,0.17732146267707533
2018,3,0.0661625935194584
2018,4,0.01705842916495525
2018,5,7.382134015188058e-06
2018,6,0.0
2018,7,0.0
2018,8,0.0
2018,9,3.8461538364432414e-07
2018,10,0.002275961524219383
2018,11,0.06549740468080227
2018,12,0.06290437352771942
2019,1,0.25392825786884016
2019,2,0.2757042543246196
2019,3,0.19313728293547264
2019,4,0.00561249997610083
2019,5,0.00024844913038507983
2019,6,2.0833333608677026e-06
2019,7,0.0
2019,8,0.0
2019,9,0.0
2019,10,2.915632734357132e-06
2019,11,0.040423814207315445
2019,12,0.08648176118731499
2020,1,0.13307248800992966
2020,2,0.18423352103966933
2020,3,0.03346194176433178
2020,4,0.0018263140899272491
2020,5,0.000893889587202396
2020,6,1.923076909476479e-06
2020,7,0.0
2020,8,0.0
2020,9,8.7179486084866e-06
2020,10,0.0002499999975498213
2020,11,0.010215416560710695
2020,12,0.07713784076846562
2021,1,0.1803065137221263
2021,2,0.4036043653121361
2021,3,0.06884534814609931
2021,4,0.0016180128201925142
2021,5,2.909429277818932e-05
2021,6,0.0
2021,7,0.0
2021,8,0.0
2021,9,0.0
2021,10,6.0173697114315964e-06
2021,11,0.008161089696491567
2021,12,0.05192617871440374
2022,1,0.18616929421058068
2022,2,0.21967867475289565
2022,3,0.06554488264597379
2022,4,0.009871250179667886
2022,5,5.055831285115066e-06
2022,6,6.410256394072069e-08
2022,7,0.0
2022,8,0.0
2022,9,2.7179487766751172e-05
2022,10,5.412531107560006e-05
2022,11,0.027768974335720904
2022,12,0.10030648327217652
